symbol,annualized_return_pct,annualized_vol_pct,sharpe,sortino,pct_anomalous
JNJ,53.41,19.0,2.6,4.72,5.5
INTC,176.8,77.11,2.24,4.04,5.9
AMD,148.06,68.79,2.09,3.56,5.5
GOOGL,67.0,30.35,2.08,3.98,4.7
AAPL,47.04,24.32,1.77,2.69,6.3
CSCO,57.8,32.38,1.66,2.19,5.9
BAC,32.92,21.59,1.34,1.88,5.5
XOM,37.06,24.95,1.32,1.91,5.1
ABBV,35.85,25.92,1.23,1.99,4.7
UNH,49.07,39.4,1.14,1.4,4.7
JPM,23.49,22.08,0.88,1.24,5.1
GE,30.54,31.75,0.84,1.21,4.3
NVDA,27.82,35.66,0.67,1.09,4.7
TSLA,28.15,44.62,0.54,0.91,3.9
WMT,17.2,24.33,0.54,0.79,4.7
AMZN,12.51,30.97,0.27,0.41,4.3
V,4.93,21.81,0.04,0.07,3.9
META,-4.59,38.49,-0.22,-0.33,5.5
COST,-1.72,19.63,-0.29,-0.43,5.9
MSFT,-20.96,27.36,-0.91,-1.22,6.6
